ID,Name,GEO_ID,Pct_Pov,Pct_HS25,Pct_Bach25,Med_Inc,Pct_UE16
142,"Census Tract 166, Milwaukee County, Wisconsin",55079016600,34.4,70,11.6,28032,6.3
143,"Census Tract 167, Milwaukee County, Wisconsin",55079016700,45.5,46.8,5.9,26458,11.9
144,"Census Tract 168, Milwaukee County, Wisconsin",55079016800,40.2,51.6,3.1,30690,6.9
145,"Census Tract 169, Milwaukee County, Wisconsin",55079016900,50.1,50.4,1.6,26646,5.1
146,"Census Tract 170, Milwaukee County, Wisconsin",55079017000,27.9,64.2,7.4,28750,5
147,"Census Tract 171, Milwaukee County, Wisconsin",55079017100,34.9,60.3,6.3,41677,5.5
148,"Census Tract 172, Milwaukee County, Wisconsin",55079017200,16.4,54.3,8.4,50169,6
149,"Census Tract 173, Milwaukee County, Wisconsin",55079017300,36.4,70.6,7.8,39762,8.4
150,"Census Tract 174, Milwaukee County, Wisconsin",55079017400,31.3,58.9,3.9,22996,4.8
151,"Census Tract 175, Milwaukee County, Wisconsin",55079017500,53.9,52.2,4.7,25845,6.1
152,"Census Tract 176, Milwaukee County, Wisconsin",55079017600,50.3,60.2,5.9,30094,8
153,"Census Tract 179, Milwaukee County, Wisconsin",55079017900,17.3,92.9,44.2,59768,4.9
154,"Census Tract 180, Milwaukee County, Wisconsin",55079018000,23.4,93.6,44.1,60066,2.3
155,"Census Tract 181, Milwaukee County, Wisconsin",55079018100,7.7,96.2,54.6,71250,3.2
156,"Census Tract 182, Milwaukee County, Wisconsin",55079018200,13.3,98.7,61.3,81607,4.6
157,"Census Tract 183, Milwaukee County, Wisconsin",55079018300,11.1,95.5,50.8,70854,5.7
158,"Census Tract 184, Milwaukee County, Wisconsin",55079018400,16.3,96.2,43.1,68929,4.8
159,"Census Tract 185, Milwaukee County, Wisconsin",55079018500,15.3,85.3,25.8,63646,2.1
160,"Census Tract 186, Milwaukee County, Wisconsin",55079018600,52.9,62.2,8.4,37000,8.5
161,"Census Tract 187, Milwaukee County, Wisconsin",55079018700,41,57,2.1,36493,1.1
162,"Census Tract 188, Milwaukee County, Wisconsin",55079018800,40.5,51.8,6.9,41938,2.6
163,"Census Tract 189, Milwaukee County, Wisconsin",55079018900,20.5,70.1,15.9,56563,3.3
164,"Census Tract 190, Milwaukee County, Wisconsin",55079019000,22,82.5,18.1,61886,1.7
