ID,Name,GEO_ID,Pct_Pov,Pct_HS25,Pct_Bach25,Med_Inc,Pct_UE16
228,"Census Tract 1008, Milwaukee County, Wisconsin",55079100800,12.6,97,28.4,62694,7.5
229,"Census Tract 1009, Milwaukee County, Wisconsin",55079100900,17.8,89.2,33.3,51525,3
230,"Census Tract 1010, Milwaukee County, Wisconsin",55079101000,20.1,96.4,35.2,52698,0.3
231,"Census Tract 1011, Milwaukee County, Wisconsin",55079101100,11.8,92,23.1,52353,4.9
232,"Census Tract 1012, Milwaukee County, Wisconsin",55079101200,18.1,92.9,24.2,53556,3.1
233,"Census Tract 1013, Milwaukee County, Wisconsin",55079101300,19.4,93.9,19.3,51477,3.2
234,"Census Tract 1014, Milwaukee County, Wisconsin",55079101400,19.2,92.4,24.3,46401,3.3
235,"Census Tract 1015, Milwaukee County, Wisconsin",55079101500,25,93.2,19.9,53069,3.6
236,"Census Tract 1016, Milwaukee County, Wisconsin",55079101600,21.4,96.6,22.3,61849,3.5
237,"Census Tract 1017, Milwaukee County, Wisconsin",55079101700,25.8,96.7,24.4,61298,1.3
238,"Census Tract 1018, Milwaukee County, Wisconsin",55079101800,13.6,88.5,18.5,57404,3
239,"Census Tract 1101, Milwaukee County, Wisconsin",55079110100,31.8,85.6,18.4,41591,9
240,"Census Tract 1201.01, Milwaukee County, Wisconsin",55079120101,16.5,95.2,38.3,71943,2.5
241,"Census Tract 1201.02, Milwaukee County, Wisconsin",55079120102,16.2,94.8,40.6,80313,3.1
242,"Census Tract 1202.01, Milwaukee County, Wisconsin",55079120201,18.4,90.6,24.7,48929,2.3
243,"Census Tract 1202.02, Milwaukee County, Wisconsin",55079120202,6.9,92.9,24,53050,1.8
244,"Census Tract 1202.03, Milwaukee County, Wisconsin",55079120203,20.9,90.9,24.8,54922,6.1
245,"Census Tract 1203, Milwaukee County, Wisconsin",55079120300,15.6,94.8,27.6,61016,6.1
246,"Census Tract 1204, Milwaukee County, Wisconsin",55079120400,13.3,91.9,22.6,55965,5
